ensembl_gene_id,ensembl_transcript_id,gene_biotype,transcript_biotype,transcript_position,RBP,score,unpaired_probability,chromosome,region,exon_start,exon_end
22602,23268.13,1,1,1559,443,0.7902258032934281,0.6144901999999999,chr15,3;3,74671003,74671009
22602,23268.13,1,1,1559,442,1.0,0.6144901999999999,chr15,3;3,74671003,74671009
22602,23268.13,1,1,1559,441,1.0,0.6144901999999999,chr15,3;3,74671003,74671009
22602,23268.13,1,1,1574,242,1.0,0.5025025,chr15,3;3,74670988,74670994
22602,23268.13,1,1,1604,386,1.0,0.6750944999999999,chr15,3;3,74670958,74670964
22602,23268.13,1,1,2835,427,1.0,0.532821,chr15,3;3,74669296,74669302
22602,110009.3,1,1,1561,443,0.7902258032934281,0.6144901999999999,chr15,3;3,74671003,74671009
22602,110009.3,1,1,1561,442,1.0,0.6144901999999999,chr15,3;3,74671003,74671009
22602,110009.3,1,1,1561,441,1.0,0.6144901999999999,chr15,3;3,74671003,74671009
22602,110009.3,1,1,1576,242,1.0,0.5025025,chr15,3;3,74670988,74670994
22602,110009.3,1,1,1606,386,1.0,0.6750944999999999,chr15,3;3,74670958,74670964
22602,110009.3,1,1,2834,427,1.0,0.532821,chr15,3;3,74669296,74669302
