motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000034379|transcript:ENSMUST00000042203|strand:+	13.05	tp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000023963|transcript:ENSMUST00000170988|strand:+	13.05	tp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000030725|transcript:ENSMUST00000032967|strand:+	13.05	tp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000031133|transcript:ENSMUST00000033468|strand:-	13.05	tp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000074733|transcript:ENSMUST00000143264|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000031176|transcript:ENSMUST00000033519|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000003166|transcript:ENSMUST00000117945|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000044768|transcript:ENSMUST00000053033|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000018398|transcript:ENSMUST00000117061|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000015597|transcript:ENSMUST00000113481|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000045410|transcript:ENSMUST00000091848|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000018583|transcript:ENSMUST00000018727|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000018501|transcript:ENSMUST00000069456|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000044700|transcript:ENSMUST00000054459|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000005506|transcript:ENSMUST00000068726|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000017428|transcript:ENSMUST00000017572|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000031310|transcript:ENSMUST00000117901|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000071337|transcript:ENSMUST00000113712|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000026773|transcript:ENSMUST00000192949|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000030846|transcript:ENSMUST00000106226|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000035575|transcript:ENSMUST00000043152|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000029502|transcript:ENSMUST00000112512|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000020792|transcript:ENSMUST00000021147|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000032307|transcript:ENSMUST00000059555|strand:+	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000027828|transcript:ENSMUST00000029414|strand:-	13.05	fp	0
1-ACCUAAA	STREME-1	4.9e-005	ENSMUSG00000030224|transcript:ENSMUST00000064910|strand:+	13.05	fp	0
