gene,rna_baseMean,rna_log2FC,rna_padj
Gimap9,27.37901773,2.173325367,4.72E-07
Gimap7,6.722423862,1.307337312,0.013456818
Malsu1,461.5104382,-0.489362456,0.002051936
Ccdc126,51.23225158,-0.556683263,7.59E-02
LOC100910678,3.357587439,-0.420600876,0.400055001
Mpp6,3137.771026,-0.729458477,2.85E-07
Cycs,1044.871614,-0.650368005,1.44E-06
Hnrnpa2b1,3341.950825,-0.55253053,0.002072713
Cbx3,282.0515258,-0.489357982,0.00854691
Snx10,2086.898149,-1.003196029,3.95E-16
Cpvl,8.723433712,1.588087006,0.002948343
Scrn1,2814.948216,-0.087400047,5.22E-01
Mturn,883.7761867,0.693374012,1.40E-06
Ggct,218.684587,0.261626431,0.243651126
Gars,2901.311451,-0.933066224,3.31E-14
Neurod6,8965.072621,-2.182519551,7.17E-54
Lsm5,274.7646487,-0.084371454,0.742304784
Kbtbd2,1987.148445,-0.667235176,1.22E-06
Nt5c3a,1799.220535,-1.019659635,6.52E-13
Lancl2,2570.267525,-1.06133101,9.26E-18
Pigy,218.3041584,-0.30780768,0.118074095
Ppm1k,1452.839958,-0.012223385,0.939251983
Nap1l5,715.2072611,0.40185114,0.011425406
Gprin3,227.8608101,0.924429165,2.29E-06
Mmrn1,11.31535597,-0.885009376,0.068929678
LOC108350812,7.076977344,-1.029793831,4.73E-02
RGD1560028,3.81341822,0.999870819,0.036797053
Il12rb2,3.116452398,1.053771472,0.021559002
Rmnd5a,1800.290433,-0.098848633,5.61E-01
Rnf103,1929.100385,-0.247820304,0.115657629
Reep1,916.9659845,-1.285201454,4.11E-21
Immt,3405.618867,-0.516740282,1.67E-05
Ptcd3,1539.864021,-0.562230263,5.56E-05
St3gal5,2164.421642,-1.045502406,3.54E-16
Usp39,863.4157821,-0.664752093,1.39E-06
Mat2a,2151.888333,0.002636483,9.89E-01
Elmod3,220.138387,0.360846934,6.71E-02
Kcmf1,1540.592253,-0.137972114,0.33297032
LRRTM1,900.0445898,-1.599018143,7.39E-21
Reg3b,3.250655182,0.22991291,0.651466556
Mrpl19,442.0086799,-0.48959483,0.001987156
Pole4,218.0105827,0.120455178,5.77E-01
Sema4f,438.8887416,-1.342919179,5.70E-14
Htra2,506.9413727,-0.274755197,0.094165382
Wdr54,3.411338281,-0.539587163,0.276767689
LOC500227,119.2766623,-0.001861171,0.994733887
Dctn1,5215.966959,-0.219754246,0.114889354
Mthfd2,68.35451184,-0.018963768,9.54E-01
Bola3,256.6153655,-0.099337042,6.40E-01
Dguok,283.6313024,-0.407857864,0.021695497
Stambp,486.6380801,-0.480874757,2.67E-03
Spr,14.66469745,-0.522960164,0.260872043
Emx1,33.3668231,0.143730448,0.728926615
Smyd5,182.8467942,-0.245018043,2.47E-01
Pradc1,141.2378316,-0.693333358,0.00237573
Cct7,4005.359238,-0.572500802,1.21E-06
Fbxo41,688.5830713,0.591676329,6.98E-04
Egr4,14.77272872,-0.716091912,0.155455153
Fam136a,84.63414131,-0.789509014,3.51E-03
Pcyox1,3460.654852,-0.864717537,5.25E-13
RGD1306746,358.9335489,-0.382762372,2.26E-02
Pcbp1,499.0056455,-0.390870011,0.013204139
Asprv1,9.34465668,1.679649296,0.001660083
Mxd1,81.31154868,0.449308922,0.101313043
Snrnp27,629.2751316,-0.303853893,7.74E-02
Gmcl1,809.502685,-0.491875468,8.84E-04
Nfu1,561.0953927,-0.485891465,0.001613492
LOC100362908,41.18562464,1.483914217,3.48E-05
Cnbp,2399.148244,-0.244781504,0.066432966
Copg1,4269.402209,-0.460312102,2.44E-04
Hmces,611.6373708,-0.169186269,0.284102247
H1fx,39.28044195,-0.165608697,6.93E-01
Rpn1,6114.912228,-0.705450757,7.21E-10
Ruvbl1,387.9678878,-0.866353843,8.48E-08
Kbtbd12,18.0619542,-0.529481734,0.2246992
Abtb1,132.4989986,0.106904301,0.687828269
Podxl2,1081.855799,0.043874631,8.09E-01
Vom1r90,2.41859426,-0.485722828,0.293694873
Hdac11,1007.20934,-0.254882953,0.096596828
Wnt7a,194.5775695,1.567921709,1.30E-14
Chchd4,64.78566068,-0.582802306,0.045666359
Iqsec1,2423.226636,0.274874679,0.057646807
Ccdc174,532.5773953,-0.515000341,0.001335955
RGD1560289,61.12134023,-0.133597587,6.80E-01
Mrps25,570.6491538,-0.142148884,0.380644868
Rbsn,1072.157569,-0.380141573,0.004731555
Slc25a26,77.02872127,-0.61116829,0.024349049
Kbtbd8,443.675252,-0.871303195,1.73E-07
Uba3,2606.617168,-0.722034903,7.32E-08
Arl6ip5,1813.540674,-0.713930423,6.93E-09
Lmod3,19.24055122,-1.696045829,3.43E-04
Eif4e3,595.4465048,1.284319694,8.95E-19
Gpr27,43.30851266,-0.249903843,5.25E-01
Prok2,5.849191817,0.905938379,0.078764042
Rybp,256.8638947,-0.497106808,0.011332096
Trnt1,398.3340761,-0.324110193,0.085629697
Crbn,2387.835824,-0.88540337,1.10E-11
Lrrn1,3817.907402,-1.211938119,1.81E-21
Setmar,140.7233698,-1.483169759,1.95E-10
Arl8b,2527.300438,-0.823844093,1.13E-09
Oxtr,9.933580957,-1.12597308,0.029671599
Thumpd3,1134.190273,-0.359551765,0.019921271
Lhfpl4,198.0110201,-0.584365727,0.015677947
Cpne9,61.88099109,0.60694076,0.037921421
Brpf1,691.1411811,-0.775182506,8.77E-08
Ogg1,128.9889582,-0.618894635,0.011862348
Tada3,454.2418575,-0.61146024,2.27E-04
Rpusd3,128.0771132,-0.223307542,3.75E-01
Jagn1,410.3660174,-0.697326547,3.64E-05
Creld1,542.9100565,-0.510938298,1.06E-03
Prrt3,434.2676737,-1.163895715,7.33E-12
Emc3,1781.932373,-0.080955054,0.583970405
Brk1,1656.182565,-0.691086209,2.93E-08
Tatdn2,1502.73843,-0.174318701,0.20293839
Sec13,586.4830547,-0.553474753,3.93E-04
Mkrn2,779.8350444,-0.126445982,4.10E-01
Efcab12,5.774464598,-0.494104962,0.33297032
Alox5,71.96302797,2.32732328,1.72E-13
Zfp422,282.4923268,-0.065535623,0.748264151
LOC500300,10.64556602,-0.128244895,0.806341942
Zfp637,1585.167621,-0.919559983,2.85E-13
LOC100909657,244.1557843,-0.398301733,0.035257817
Zfp9,488.5988204,-0.251045831,0.134645457
Fbxl14,50.96592573,-0.130220388,0.733012109
Cecr6,77.71857172,-0.777864155,0.011351283
Bcl2l13,854.78695,-0.120595226,0.430046279
Pex26,74.25719863,0.354134254,0.208395968
Tuba8,413.7470363,-0.781534276,1.37E-06
Phc1,513.8796878,0.514477501,8.68E-04
LOC103690024,6.550669034,-0.062764079,0.90940665
Pex5,23.2628583,-0.064760022,0.884348747
Clstn3,4601.722785,-0.644937006,1.49E-07
Emg1,602.9832137,-0.319888372,0.043786221
Phb2,964.0466828,-0.234104695,0.112145053
Tpi1,9.962334837,-0.100728477,0.84930904
Usp5,613.8063662,-0.55623994,8.55E-04
Gpr162,1674.384078,-0.242113025,1.52E-01
Ptms,2456.414788,-0.737538919,6.04E-09
Mlf2,3047.982752,-0.568572684,3.44E-04
Cops7a,805.3396742,-0.312792319,0.051708026
Pianp,120.4865979,-0.26834265,3.09E-01
Ing4,515.5215994,-0.232624924,1.45E-01
Acrbp,2.4381777,-0.075266749,0.883037902
Nop2,187.5871903,-0.542869473,0.007183583
Iffo1,295.7635129,-0.603891925,0.001231483
Mrpl51,739.672745,0.033078618,8.53E-01
Vamp1,758.6444167,0.04567642,0.788544443
Scnn1a,3.22937393,0.788339238,0.098875096
Plekhg6,7.236080222,0.204998437,0.697007231
Ntf3,59.13015968,0.112156304,0.733890944
Kcna5,5.18640156,0.391746082,0.44667838
Kcna1,653.3831385,-0.622423629,1.37E-05
Akap3,18.55266587,-0.457763318,0.302898887
Rad51ap1,84.47881423,-0.300512543,0.268377347
Nrip2,41.76510162,0.00358896,0.993238184
Fkbp4,1936.346374,-0.350908454,0.006362429
LOC108350772,3.928266887,0.426924849,0.400649128
Chtop,77.76337675,-0.064582483,0.841174213
Gabarapl1,3049.944033,-0.757186694,1.46E-10
Magohb,127.0846146,-0.528057715,0.026652778
Styk1,3.133612965,-0.227466151,0.651865257
Smim10l1,72.87893629,-0.305073522,0.335898524
Mansc1,69.28827107,0.906774601,0.001270692
Crebl2,284.1075113,0.42465004,0.016855261
Gpr19,210.5979485,-0.174505919,4.08E-01
Apold1,6.383858934,0.755067545,1.40E-01
Ddx47,969.8478536,-0.530697114,1.03E-04
Fam234b,1346.457175,-0.395689821,0.007438814
Gsg1,6.373655167,-0.389274888,0.447143371
Gucy2c,2.850689235,0.066429626,9.02E-01
RGD1562378,148.2243166,0.472667788,0.05149988
Mgp,53.76851648,2.456141147,9.35E-12
Rerg,243.7375026,-0.673951068,3.92E-04
Strap,1017.884262,-0.476212272,6.77E-04
Igbp1b,28.35198145,-1.759526218,3.48E-05
Lmo3,855.3715337,-1.432790811,1.88E-17
Recql,650.7004545,-0.229191605,1.50E-01
Golt1b,473.9438572,-0.570426184,3.97E-04
Ldhb,6380.840189,0.295162999,0.019189564
Cmas,2760.084491,-1.154069285,8.26E-21
C2cd5,1551.596472,-0.555583192,1.15E-05
Etnk1,1999.252362,-0.913950433,8.39E-13
Kras,1346.437487,-0.653879934,3.74E-05
Fgfr1op2,1526.035522,-1.15079408,4.16E-18
Med21,406.5027081,-0.381073187,0.02665847
Stk38l,421.7498134,-0.161830376,0.367247019
Mrps35,701.0705407,-0.421330505,3.24E-03
Amn1,643.6051111,-0.47537679,0.004504135
LOC102547920,78.72564023,-1.09399111,9.80E-05
Cpa6,2.008726169,0.134550671,0.78246797
Kank4,79.92234949,-0.054811361,8.59E-01
Kcnb2,432.7668556,-1.195883612,7.17E-14
RGD1564053,718.1940552,0.014087737,9.41E-01
Sntg1,482.0216519,-0.292363195,0.069790496
Fam110b,606.3158308,-1.047313433,4.19E-12
Tox,70.89923059,1.422841128,1.28E-06
Rragd,885.3329875,-0.810331842,6.23E-09
LOC682812,797.4060338,-0.459755603,9.85E-04
Astn2,1027.641697,-0.274892863,0.064051216
Brinp1,6939.127568,-1.501994575,1.18E-31
LOC102554881,3.733351817,-0.516097775,0.297644205
Dab1,1405.09976,0.092465659,0.532991223
Hspb11,275.7457039,-0.03146215,0.891753561
Coa7,130.7599655,-0.777988715,8.31E-04
Eps15,8367.514572,-0.402487861,3.32E-03
Elavl4,998.52037,-0.883812495,2.45E-11
LOC100911395,169.9757173,-0.921325244,8.42E-06
Mast2,2788.301492,0.940581995,1.98E-14
Rnf220,1193.449785,-0.229699979,1.21E-01
Ccdc30,893.6995616,-0.891489628,3.58E-11
LOC102552311,16.96497908,-1.294664195,6.78E-03
Psmb2,1438.009608,-0.652651377,3.64E-07
Pum1,2167.069376,-0.194747365,0.14333801
Ptpru,2065.399059,-0.924747046,1.90E-10
Kazn,506.3438626,-0.037217856,0.846210473
Casz1,4.208374695,-0.010541172,0.986106008
Slc25a33,892.7400661,0.610766544,7.25E-06
Camta1,1470.75564,-0.465610813,5.07E-04
Jph1,382.1583364,-1.188836533,1.07E-12
Stau2,5654.866956,0.055971492,0.725336416
Ncoa2,1722.494359,-0.108928972,4.47E-01
Pcmtd1,3708.357329,-0.418087371,0.002546082
Atp6v1h,5053.684366,-0.798225333,2.62E-10
Tmem68,1274.186241,-1.103986181,2.74E-15
Asph,915.8989155,0.10974713,5.10E-01
RGD1559441,182.4319006,-0.972983598,2.34E-06
Runx1t1,509.2957588,-1.180019513,9.45E-15
Tmem55a,704.8139435,-0.118590889,0.458661624
Coq3,1066.492598,-0.119771362,0.440577234
Fbxl4,670.4550523,-0.458329536,2.09E-03
Klhl32,292.1934669,-0.181056104,0.332210582
Epha7,4630.311291,-1.551902563,4.77E-33
Ankrd6,570.8979437,-0.01349456,0.941922751
Rngtt,1027.194458,-0.11976749,0.484523368
Lingo2,109.8245198,-0.693053947,0.004458668
Chmp5,2297.632413,-0.227465169,9.63E-02
Kif24,30.24011642,1.000027203,0.009124297
Fam219a,457.8151151,0.141829584,0.413639329
Unc13b,1302.302226,-1.157283374,3.63E-17
Ncbp1,1593.559322,-0.6513101,3.69E-06
Trmo,72.74781471,-0.535091711,0.054665427
Gabbr2,3250.872856,-0.678505986,2.11E-08
Tex10,1028.508501,-0.803385598,5.64E-08
Tmeff1,2934.392692,-0.47260605,2.71E-04
Plppr1,199.7330138,0.15028005,0.491426364
Fsd1l,949.6585793,-1.089264163,3.18E-14
Zfp462,2300.917917,-0.210328614,0.151992688
Ikbkap,2755.931811,-0.673371043,2.28E-08
Epb41l4b,174.7483995,0.538024782,0.009324812
Ptpn3,1645.600949,-1.377229345,8.69E-26
Palm2,405.2268881,-0.783526357,1.39E-06
Akap2,1060.921603,-0.087882977,0.597972863
Lpar1,306.5092622,2.187752742,2.64E-22
LOC686050,4.394632935,0.04381699,9.37E-01
Snx30,900.4726627,-0.42038642,0.002675912
Mup5,1.940694455,0.526828309,0.229929688
Zfp37,137.0987264,-0.527558383,0.017904934
Tle1,720.8170368,-0.629798475,6.58E-06
Kdm4c,1280.657195,-0.2863404,0.062311126
Mpdz,1919.545698,0.194011169,0.142948862
Nfib,2200.661035,0.040449942,7.92E-01
Zdhhc21,375.2521827,-0.530479807,0.002003404
Ttc39b,607.2215988,0.020471602,9.14E-01
Psip1,6458.460016,-0.991961274,2.51E-13
Sh3gl2,2041.525082,-1.380109553,7.15E-26
Slc24a2,8152.538105,-1.675903617,2.10E-35
Mllt3,1224.802807,-0.115703683,0.466042575
Caap1,427.9775043,-0.784330679,1.55E-06
Ube2u,10.72317443,-0.68846801,0.160649318
Raver2,682.3684832,-0.63308106,1.56E-05
Dnajc6,8238.513404,-0.711384471,5.33E-10
Sgip1,2804.580161,-0.583858078,3.19E-06
RGD1564074,11.10469369,-0.285773819,0.565508005
LOC100909776,3.920236139,0.532943729,0.287050739
Ttc22,141.7450094,0.059705406,8.40E-01
Ssbp3,548.6015816,0.051022414,0.77623296
Glis1,7.954019788,0.893726473,0.080365571
Zfyve9,4415.000074,-0.40374693,0.002982765
Rnf11l1,1027.463229,-0.308382944,0.027546346
Faf1,1835.917245,0.125944685,0.397846047
Pik3r3,556.529227,0.906923747,8.20E-09
Tmem69,560.1872421,-0.774602417,3.73E-06
Zswim5,1091.554835,-0.34277971,0.013315494
Eif2b3,700.9671549,-1.20796427,1.79E-16
Eri3,1967.910085,-0.275772943,0.03118809
B4galt2,781.8061014,0.649687347,1.18E-05
St3gal3,420.398803,-0.144478377,0.414025383
Kdm4a,1279.973607,-0.385327399,0.003417186
Szt2,473.1592518,0.090900435,0.632665312
Foxj3,1315.092889,-0.946070941,3.28E-12
Nfyc,633.1686436,-0.330119472,0.027562463
Akirin1,551.2531628,-0.622488774,1.01E-04
Inpp5b,149.5315864,-0.412478511,0.063107186
LOC100294508,1406.524219,-0.192949305,0.189984542
Zmym4,2818.005377,-0.07756587,0.629019724
Fndc5,593.4918638,0.444931694,0.004747945
Nkain1,75.64189206,0.006550781,0.985005335
Trnau1ap,541.729093,-0.452664878,3.27E-03
Dnajc8,1723.886395,-0.210497217,0.180451339
Ahdc1,595.3913167,-0.211479269,2.57E-01
Wdtc1,1003.576823,0.985377572,2.06E-12
Aim1l,2.55747436,-0.098357628,0.846191851
Rhd,7.522172157,1.11019442,0.033026506
Htr1d,2.815898227,-0.739092362,1.12E-01
Kdm1a,2302.537657,-0.76458764,2.77E-09
Ephb2,205.1305418,-0.864050185,2.16E-05
Epha8,133.0999075,-1.082719015,6.37E-06
Cdc42,7051.071748,-0.711788969,4.89E-08
Eif4g3,4681.740337,-0.538932199,5.02E-06
Kif17,147.4638545,-0.120417034,0.643477898
Vwa5b1,9.217312306,0.38246852,0.446364953
Minos1,418.9620714,-0.145955916,0.411508275
Ubr4,8578.045558,0.029581396,0.842176183
Iffo2,139.6569931,0.202743978,3.88E-01
Igsf21,109.4850559,0.930848597,2.48E-04
LOC108351053,47.92141287,1.799347023,7.76E-07
Atp13a2,2020.464338,0.119341065,4.28E-01
Mtor,2804.537788,-0.114149367,0.408410247
Pex14,288.9426802,-0.424719751,2.58E-02
Kif1b,19519.50032,-0.273250744,0.023916796
Ube4b,1905.829281,-0.445566699,4.02E-04
Clstn1,13070.78543,-1.044916647,2.39E-15
Rere,3569.075419,1.428123942,1.17E-22
Nol9,561.4771939,-0.648265341,1.38E-05
Icmt,322.6559202,-0.22480767,0.215054164
Kcnab2,7490.297866,0.801944711,3.75E-09
Nphp4,274.6771583,-0.292976772,0.1736742
Ajap1,465.4832336,-1.201966971,1.95E-13
Wrap73,282.0157914,-0.542680042,0.004129238
LOC103692529,5.830937037,0.877014595,0.084484751
Morn1,93.63662119,0.211106162,4.30E-01
Ski,953.4278714,0.50086345,0.002598942
Prkcz,2579.870372,-0.01358009,0.930210442
Noc2l,552.1744588,-0.662603903,8.55E-06
Tipinl1,16.406323,0.339460817,0.452884103
Gdap1,1466.180108,-1.390341422,2.06E-27
Tmem70,383.9989664,-0.701403591,1.41E-04
Tceb1,181.6102147,-0.76030811,4.24E-04
Terf1,309.5998404,-0.328320346,0.105400447
RGD1564405,11.19354717,-0.307085451,0.525528158
Rbpjl2,2.20870929,0.474536092,2.99E-01
Arfgef1,5370.895038,-0.711983015,7.18E-08
Cops5,1983.127385,-0.719597201,6.92E-09
Mcmdc2,151.0668864,-1.064069324,1.58E-06
Vcpip1,5875.245623,-0.958679025,3.49E-14
RGD1561849,3031.985715,-1.310984206,8.12E-17
Rrs1,131.3222694,-0.353517787,1.29E-01
Rb1cc1,6849.47494,-0.665368921,1.52E-06
Tcea1,352.8830827,-0.279748107,1.05E-01
Lypla1,626.556882,-0.277450536,0.100913382
Mrpl15,1609.221208,-0.416373878,0.001268963
Sumo4,107.7199081,-0.352751764,2.07E-01
Tgs1,1037.020967,-0.689739596,3.76E-07
Chchd7,240.2564397,-0.654949157,0.00115258
Penk,470.5576426,2.45871031,5.70E-51
LOC103692307,9.684859968,0.119477735,8.19E-01
Ubxn2b,1254.093364,-0.310225032,0.031661269
Rab2a,5483.094063,-0.962735261,1.78E-13
Ndufaf6,255.990761,-0.467575651,1.03E-02
LOC102547431,7.108042426,0.744505185,0.144336664
Rbm12b,35.83117626,-0.563590433,0.127399152
Pdp1,1349.298157,-1.174477421,1.09E-16
LOC679087,35.43526243,-0.305474283,0.4006043
Fam92a1,1869.606016,-0.643017692,2.60E-06
Triqk,345.6165226,-1.548030635,3.24E-19
Otud6b,1809.118479,-0.662534273,2.66E-07
Tmem64,85.68481435,-0.092526815,0.758704423
Calb1,3191.773834,-1.281805301,1.61E-26
Osgin2,518.8540933,-0.414747568,0.010521655
Ube2w,3.824139867,-0.590678526,0.235930316
Maged2,922.2247131,0.297897951,0.033026984
Atp6v0d2,2.631327636,0.132196128,7.94E-01
Ggh,1334.439101,-0.210439264,1.93E-01
Ccnc,1652.378166,-0.780473423,3.79E-08
Tstd3,1155.266364,-1.078792851,3.96E-14
Usp45,2651.927898,-1.208761045,1.46E-18
Faxc,736.5219863,-0.677437787,1.50E-06
Ndufaf4,372.4205731,-0.799682551,3.26E-06
Lyrm2,209.1727989,-0.316665572,0.143702844
Ube2j1,1703.101549,-0.467723848,2.68E-04
Gabrr1,3.085492006,-0.170016168,0.745857903
Srsf12,219.2410153,-1.060277509,6.19E-08
Pnrc1,1192.395854,-0.273596554,0.085405483
Akirin2,1113.35032,-0.872416388,5.04E-09
Rars2,243.5793863,-0.323219364,0.096316113
Slc35a1,713.3493791,-0.732170412,1.30E-06
RGD1563056,5.491679395,0.118257593,0.82867305
Smim8,145.5967253,-0.153136783,0.526985575
RGD1359108,838.9844369,-0.323090198,0.028156028
Topors,1224.423677,-0.302061288,0.050142018
Ndufb6,1365.888372,-0.511475309,3.62E-04
LOC690918,9.492024189,0.123218467,0.817142602
Dnaja1,7664.839426,-1.002744075,5.23E-14
Bag1,930.9648818,0.010350413,0.955740352
Nfx1,1909.634123,-0.873787919,1.30E-12
Nol6,777.1196083,-0.451963848,3.38E-03
Ubap1,1025.561769,-0.305892444,0.036078393
Nudt2,331.2868451,0.43787395,0.011024591
Rpp25l,57.5494608,-0.216088037,0.514195868
Dctn3,718.3615427,-0.662960997,5.93E-06
Sigmar1,203.1012511,-0.149455294,0.525115844
Ccl27,286.5119547,-1.398566939,1.06E-13
Fam205a,2.164115527,0.595297868,1.64E-01
Phf24,632.0313045,-1.000715344,3.50E-09
Dnajb5,1088.323975,-1.620438746,1.89E-28
Vcp,10283.9213,-0.261398756,0.032592118
Fancg,29.71580243,0.052537718,0.900530905
Pigo,159.603414,-0.04680558,0.856476656
Stoml2,772.1651645,-0.188345345,0.222074821
Rusc2,1487.93732,-0.066057869,0.703768502
Tesk1,707.2344334,0.622862204,1.39E-04
Ccdc107,545.6664972,0.259984663,0.096596921
Creb3,1231.045851,-0.224637654,0.111583304
Gba2,687.1365826,-0.545984132,3.13E-04
Rgp1,292.1991407,0.690045106,1.12E-04
Hint2,362.4302034,-0.35659584,0.034538243
Tmem8b,757.9414717,0.41717798,0.016102462
Gne,865.1652918,-1.202908659,5.06E-18
Polr1e,176.2980657,-0.432253545,0.039034514
Fbxo10,1651.884378,-1.195790819,1.06E-18
Tomm5,147.3349494,-0.283305057,0.214233679
Trmt10b,256.1875039,-0.420300992,0.03085463
Dcaf10,323.2368351,-0.434616856,0.017515504
Shb,67.89640263,1.351725114,8.24E-06
Aldh1b1,160.2714977,-0.286110298,0.208564847
Hemgn,13.19369034,1.476998677,0.003023513
Nans,635.4818204,-0.534652684,2.29E-04
Coro2a,92.98399443,-0.066861601,8.20E-01
Alg2,1343.616343,-0.704072505,2.74E-07
Nr4a3,435.8772275,-0.734411743,2.89E-06
Msantd3,203.0123455,0.560517449,0.004379327
Murc,42.97176415,-0.71968253,0.034988025
Baat,6.309272591,-0.507524806,0.319662001
Mrpl50,284.1514727,-0.350352779,0.066176943
Zfp189,2684.427364,-1.841984623,2.10E-38
Aldob,2.855203426,-0.376859654,0.444900288
Tmem246,586.5717159,-0.864292699,4.48E-08
Rnf20,984.8039344,-0.381552568,0.009227451
Nipsnap3b,555.3751161,-0.705802105,3.62E-06
Fktn,1464.448109,-0.245071786,0.07070435
Rad23b,3568.787571,-0.830945047,5.37E-11
Fam206a,179.6274368,-0.716969814,0.001081023
Txn1,1087.312704,-0.187754558,0.199247126
Zfp483,3025.109207,-1.344594556,4.71E-27
Gng10,172.2469052,-0.192322485,0.46123438
Prpf4,336.6495583,-0.36701273,0.03317503
Wdr31,121.1190751,-0.720346045,0.001930968
Bspry,118.5416903,1.11185047,4.15E-06
Hdhd3,75.92501617,0.629098843,0.024805311
Alad,251.4111477,0.376880966,0.073438435
LOC500475,58.35682457,0.905745511,0.003200074
Ambp,3.412249133,0.517350201,0.300425308
Trim32,1028.408642,-0.527420514,1.33E-04
Tmem261,171.7496788,-0.501529607,0.01830952
Lurap1l,82.48909925,-0.782157765,0.003055734
LOC691387,90.3981718,-0.263381276,0.329203249
LOC367515,13.28902816,-0.728181292,0.126186511
Snapc3,745.9643996,-0.455255142,0.004374998
Rraga,1593.870009,-1.095947326,2.83E-16
Klhl9,4898.711713,-0.249171511,0.075590039
Plaa,2550.683308,-0.327341571,0.032039544
Eqtn,19.30809534,-0.144726855,0.751395021
Tm2d1,1176.327496,-0.663943603,1.37E-05
Atg4c,730.0608093,-0.324389953,0.046757741
Alg6,237.1669633,-0.447240394,0.024582208
Ak4,650.5265213,0.922087135,2.84E-10
Tctex1d1,13.02184798,0.749093973,0.109742895
Prkaa2,484.4002174,-0.676515964,1.05E-05
Dhcr24,1015.279007,-0.287527684,0.056282753
Pars2,104.4860459,-0.506366737,0.047537454
Ttc4,472.4173587,-0.426822933,0.006347114
Mroh7,19.94079087,0.147441016,0.741715529
Mrpl37,740.5560887,-0.589082333,5.55E-05
Dio1,5.354995892,0.453647942,0.375482125
Yipf1,800.0961476,0.142626749,0.356187196
RGD1559786,406.3234169,-0.709289033,8.92E-06
Zyg11b,4885.146003,-0.272011759,0.029079399
Prpf38a,629.1511172,-0.582041756,1.48E-04
Btf3l4,314.4195698,-0.736419058,2.56E-05
Kti12,37.35783953,-0.526221932,0.143246938
Nrdc,4101.683985,-0.701886006,4.74E-08
Agbl4,14.188964,-0.88363608,0.056836862
Bend5,291.2660106,-1.170303126,1.28E-10
LOC102548397,9.148222858,-0.480087722,3.35E-01
Cmpk1,2113.863066,-0.123487983,0.473155483
Atpaf1,404.9172428,-0.409426973,0.020952571
Uqcrh,2986.512511,-0.078008771,0.570544504
Lurap1,123.1446673,0.799835588,6.25E-04
Pomgnt1,1203.944621,-0.039268373,0.812621431
Tspan1,8.699447914,0.820215026,0.107934807
Ipp,969.6718056,-0.149857561,0.42019015
Nasp,665.9673006,0.165775327,0.312129732
Akr1a1,7832.417742,-0.413884958,3.49E-04
Mmachc,118.9236081,0.004822828,0.987245574
Hpdl,26.7222199,0.452085887,0.248891939
LOC102550714,3.412813365,0.047973838,0.930909314
Hectd3,548.4154248,-0.492693834,0.001333424
Ptch2,9.268480431,-0.647324477,0.191879265
Plk3,56.56994438,0.037498289,0.915789134
Tmem53,41.78351269,-0.380075669,0.27068349
Dmap1,441.9064021,-0.436599382,0.006588174
Atp6v0b,1300.33537,-0.775707638,7.09E-09
Dph2,72.0723933,-0.026751843,0.936287458
Ipo13,1655.501229,-0.042550421,0.795181243
Med8,89.91162099,-0.295257337,0.275493497
LOC100910768,118.1208123,-0.519099381,0.030288887
RGD1564804,112.9424921,-0.427268903,0.073755452
Ppih,448.8526064,-0.640325608,7.58E-05
Ppcs,159.0161577,-0.527412777,0.015226803
Guca2b,1.901613004,0.377292551,0.41241137
Foxo6,56.23680861,-0.012645558,9.75E-01
Slfnl1,25.51890389,0.248690019,0.544490985
Ctps1,2936.663979,-0.801933758,2.63E-11
Kcnq4,31.23690752,1.520673591,2.43E-04
Smap2,2542.632389,-0.898245633,5.83E-14
Col9a2,12.2105745,1.128891756,0.027233167
Tmco2,3.111517307,-0.095954731,8.53E-01
Cap1,3178.497068,-0.694707851,8.05E-09
Mycl,81.09507167,1.214152157,1.33E-05
Trit1,342.5332218,-0.003508678,0.987331836
Ppie,212.1489441,-0.240794557,0.231463871
Hpcal4,2932.427311,0.830968975,2.47E-09
Pabpc4,894.8097071,0.711691295,2.33E-07
Ndufs5,671.3413137,-0.163932847,2.89E-01
Rhbdl2,3.991116316,1.030005753,0.038177219
Pou3f1,120.6402561,-0.75814466,0.01167882
Utp11,715.0053273,-0.388901333,0.012054475
Sf3a3,929.0799775,-0.569285692,7.01E-05
RGD1559909,71.42369738,0.655908454,0.029440118
Yrdc,204.1054528,-0.799777486,6.34E-05
Maneal,299.6539211,-1.163551874,5.05E-10
Epha10,65.20323329,0.288072326,3.93E-01
RGD1560436,22.28059402,-0.187533832,0.661423577
Gnl2,715.3964401,-0.79462952,2.05E-08
Meaf6,364.9391265,-0.7887585,1.22E-06
Mrps15,872.4119002,-0.765697421,1.22E-07
Oscp1,434.3446927,-0.76697487,1.43E-06
Map7d1,853.642219,-0.411875532,0.004915133
Trappc3,991.9757259,-0.453831967,0.001001766
Adprhl2,341.5969418,-0.212545092,0.299136875
Ago1,1397.676981,-0.163549611,0.255674902
Ncdn,13548.82231,-0.362448265,0.018384082
Sfpq,2252.07796,-0.514052596,1.43E-04
Zmym1,558.7225239,-0.598743698,2.08E-04
Dlgap3,2770.225927,1.448989678,2.56E-22
Smim12,111.1766006,-0.216325904,0.407253784
Gja4,20.16789221,1.465334834,0.001261526
Gjb3,2.038884851,-0.52449786,0.22120612
LOC682102,3.508272887,-0.071331963,0.896188687
Trim62,25.03878501,0.812352057,0.048210341
Azin2,92.97000364,-0.583765089,0.030484043
Rnf19b,540.2856035,-0.65397407,5.43E-05
