PG.UniprotIds,PG.ProteinNames,PG.Genes,PG.ProteinDescriptions,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.PSMs,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.PSMsForQuant,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.Label-Free Quant,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.Coverage,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.Score,20240308_BJB_EDM_JR_APEXID_S01.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S02.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S03.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S04.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S07.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S08.raw.PG.Qvalue,20240308_BJB_EDM_JR_APEXID_S09.raw.PG.Qvalue
P63085,MK01_MOUSE,Mapk1,Mitogen-activated protein kinase 1,4,7,9,5,13,14,15,4,5,5,5,7,9,7,526751.2,528749.4,1094060.1,502745.56,1035420.75,793510.3,1483924.5,15.1%,20.1%,28.8%,15.6%,35.2%,19.8%,31.3%,55.934669494628906,55.934669494628906,55.934669494628906,55.934669494628906,55.934669494628906,55.934669494628906,55.934669494628906,0,0,0,0,0,0,0
Q63844,MK03_MOUSE,Mapk3,Mitogen-activated protein kinase 3,1,2,3,3,1,5,3,1,2,3,3,1,5,3,28132.584,61397.246,399493.3,89112.66,73716.62,340125.22,564969.75,3.9%,4.5%,11.3%,6.8%,4.5%,11.8%,11.1%,51.582252502441406,51.582252502441406,51.582252502441406,51.582252502441406,51.582252502441406,51.582252502441406,51.582252502441406,0,0,0,0,0,0,0
Q9CX34,SGT1_MOUSE,Sugt1,Protein SGT1 homolog,1,1,2,2,1,NaN,5,1,1,2,2,1,NaN,5,2087.5146,6475.1035,749320.6,23535.762,104069.45,NaN,970648.5,3.6%,3.6%,7.7%,2.7%,3.6%,NaN,17.3%,41.470252990722656,41.470252990722656,41.470252990722656,41.470252990722656,41.470252990722656,NaN,41.470252990722656,0,0,0,0,0,NaN,0
P62878,RBX1_MOUSE,Rbx1,E3 ubiquitin-protein ligase RBX1,2,2,3,2,2,NaN,3,2,2,3,2,2,NaN,3,155927.38,108857.875,226316.19,117998.336,90414.125,NaN,251281.12,24.1%,24.1%,24.1%,24.1%,24.1%,NaN,29.6%,41.76731491088867,41.76731491088867,41.76731491088867,41.76731491088867,41.76731491088867,NaN,41.76731491088867,0,0,0,0,0,NaN,0
O08784,TCOF_MOUSE,Tcof1,Treacle protein,63,62,69,72,48,11,16,7,9,9,11,10,5,5,11542405,7785143.5,22238978,9737516,6775038.5,765646.9,1647324,36.7%,37.3%,37.3%,37.5%,32.7%,9.9%,13.8%,51.83745193481445,51.83745193481445,51.83745193481445,51.83745193481445,51.83745193481445,51.83745193481445,51.83745193481445,0,0,0,0,0,0,0
Q91VA7,Q91VA7_MOUSE,Idh3b,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",12,5,9,5,14,12,16,7,5,6,5,7,5,6,736941.44,675772.7,1006093.2,333269.97,995553.7,1077501.1,1423928.5,27.3%,13%,22.9%,9.4%,34.1%,28.9%,26.6%,49.25950622558594,49.25950622558594,49.25950622558594,49.25950622558594,49.25950622558594,49.25950622558594,49.25950622558594,0,0,0,0,0,0,0
Q60931,VDAC3_MOUSE,Vdac3,Voltage-dependent anion-selective channel protein 3,6,9,9,8,15,18,13,5,6,5,7,11,11,8,1288809,1602313.9,4014009.8,1553290.5,1595084.4,2459320.5,2477877.2,29.7%,36%,37.5%,29.3%,37.8%,37.5%,38.2%,52.52332305908203,52.52332305908203,52.52332305908203,52.52332305908203,52.52332305908203,52.52332305908203,52.52332305908203,0,0,0,0,0,0,0
Q9QX47,SON_MOUSE,Son,Protein SON,3,5,12,6,4,1,NaN,3,5,6,6,4,1,NaN,149814.23,230867.55,836624.25,251442.08,99321.875,37016.906,NaN,1.4%,1.8%,6.1%,2%,1.3%,0.6%,NaN,46.78230667114258,46.78230667114258,46.78230667114258,46.78230667114258,46.78230667114258,46.78230667114258,NaN,0,0,0,0,0,0,NaN
P70296,PEBP1_MOUSE,Pebp1,Phosphatidylethanolamine-binding protein 1,7,8,16,22,9,17,25,6,5,9,10,6,10,10,1513065.8,2171761,12782669,16247905,1923512.5,8586018,17042380,55.6%,73.3%,74.9%,95.2%,73.3%,82.9%,95.2%,53.41883850097656,53.41883850097656,53.41883850097656,53.41883850097656,53.41883850097656,53.41883850097656,53.41883850097656,0,0,0,0,0,0,0
Q8CB77,ELOA1_MOUSE,Eloa,Elongin-A,20,11,15,14,16,1,1,6,6,5,6,6,1,1,1776709.6,925941.56,1834100.2,1874109.4,1647235.9,61769.93,89708.03,22%,14.6%,18%,18.5%,20.2%,1.4%,1.4%,46.96965408325195,46.96965408325195,46.96965408325195,46.96965408325195,46.96965408325195,46.96965408325195,46.96965408325195,0,0,0,0,0,0,0
