motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000103092|transcript:ENSMUST00000192168|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000022969|transcript:ENSMUST00000156133|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000053475|transcript:ENSMUST00000065927|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000029843|transcript:ENSMUST00000031868|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000020387|transcript:ENSMUST00000109090|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000040936|transcript:ENSMUST00000051565|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000036533|transcript:ENSMUST00000068958|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000014361|transcript:ENSMUST00000014505|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000036777|transcript:ENSMUST00000040912|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000030443|transcript:ENSMUST00000062765|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000036634|transcript:ENSMUST00000187137|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000019850|transcript:ENSMUST00000019997|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000068874|transcript:ENSMUST00000140757|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000027624|transcript:ENSMUST00000103137|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000032359|transcript:ENSMUST00000123320|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000032372|transcript:ENSMUST00000180154|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000037572|transcript:ENSMUST00000111790|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000020878|transcript:ENSMUST00000021251|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000047361|transcript:ENSMUST00000114243|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000028476|transcript:ENSMUST00000030198|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000022602|transcript:ENSMUST00000023268|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000052415|transcript:ENSMUST00000064257|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000027360|transcript:ENSMUST00000028838|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000054196|transcript:ENSMUST00000067072|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000002930|transcript:ENSMUST00000052827|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000001021|transcript:ENSMUST00000001047|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000001870|transcript:ENSMUST00000001927|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000040473|transcript:ENSMUST00000054865|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000015340|transcript:ENSMUST00000015484|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000035105|transcript:ENSMUST00000039516|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000045655|transcript:ENSMUST00000066437|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000056296|transcript:ENSMUST00000223583|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000033491|transcript:ENSMUST00000036426|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000031343|transcript:ENSMUST00000055966|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000032782|transcript:ENSMUST00000123176|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000030790|transcript:ENSMUST00000033054|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000030111|transcript:ENSMUST00000032203|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000029468|transcript:ENSMUST00000100737|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000010044|transcript:ENSMUST00000193303|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000028718|transcript:ENSMUST00000141933|strand:+	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000014846|transcript:ENSMUST00000014990|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000037544|transcript:ENSMUST00000178661|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000030862|transcript:ENSMUST00000033149|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000043164|transcript:ENSMUST00000058077|strand:-	10.44	tp	0
1-AAUAAA	STREME-1	5.1e-003	ENSMUSG00000046192|transcript:ENSMUST00000052277|strand:-	10.44	tp	0
