"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","exp - actin","scramble - cntrl","scramble - cntrl.1","exp - actin.1","ref transcriptome","ref transcriptome.1"
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1738.41177451925,-0.195981752307827,0.594392770601277,-0.329717590793669,0.741613360837973,0.917462049979144,1365.76731156217,1760.881247463,2179.72218338238,2668.05236952418,1514.39768857228,1302.67854963745,1377.3830714933
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,88.1781040052168,4.9214572254756,2.81180499479479,1.75028397580422,0.0800693245600718,0.383564775024003,0,401.04281042698,79.2274907080476,26.4163600942988,106.603563998877,3.95650280831421,0
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,781.496383939422,0.589292095928147,0.803614845947622,0.733301654268537,0.46337446630597,0.798884041526017,471.527269543135,964.693314997672,1046.38259069287,810.708982204342,1209.21885830099,467.856457083156,500.08721475379
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3476.14095671466,-0.0910400207039594,0.549466309813483,-0.16568808510728,0.868402423154921,0.96210379374866,5293.77641599419,4282.56429705953,2824.17018706858,3829.46130470456,1510.21715665076,3148.38710971603,3444.41022580896
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1178.90565059587,-1.91705871695277,0.914231125210752,-2.09690817134545,0.0360017050486965,0.242943949582155,790.379409961071,367.341733920511,1789.38186330859,1983.95973397872,1791.35792837329,312.563721856823,1217.35516277208
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,471.704924371418,-1.01275062469362,0.755921919906312,-1.33975559912211,0.180324815136943,0.559742801649729,492.299395954727,213.159308903416,623.19184764257,368.007223382645,579.003671131156,396.6394065335,629.633617051914
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3753.00988842278,0.414425873309398,0.501027111124365,0.827152591362525,0.408150578766465,0.767147224750531,2817.73894773244,3911.85245548838,3671.51786208026,3052.45595434466,4511.83907630542,5574.71245691472,2730.95246609355
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,315.736665836347,-2.33663040522747,1.38444906354515,-1.68776913990904,0.0914555536972931,0.410786236095822,433.09883568169,89.3078527421425,97.5850800184489,469.118118915996,82.5655054501107,881.311000551991,157.170267494048
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,675.651974843788,0.251562946060076,0.850245076551671,0.29587109998959,0.767328522330105,0.926798054731778,849.579970234107,909.086538761998,857.975753033491,677.716272764079,619.763857366021,207.716397436496,607.72503431032
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,630.885832835601,-0.584214871064516,0.768597515825727,-0.760105073247441,0.447191780394504,0.790006265321382,727.024424405715,482.767920955167,756.525917370747,720.528994296219,544.514282778578,331.357110196315,853.482179846468
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1478.63221980126,-2.56713848817769,0.580117793005662,-4.42520212123995,9.63520265821478e-06,0.000523210904077958,1067.68729755582,219.056997292048,1863.77840946127,1528.50524959425,1470.50210339628,1601.39451166518,2599.50096964399
"ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,134.116072829501,1.74711873613332,2.17824496037898,0.802076335725506,0.422508802764009,0.777296024329164,0,273.82124661506,62.8022792197938,163.052705409637,91.9717022735411,37.586776678985,309.577799609489
"ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,1757.01957419927,-0.618116343261554,0.508775865847292,-1.214908930934,0.224400827140228,0.62285663546881,2130.18156350875,1188.80547376569,1720.78245062235,1519.39615990656,2317.05981750501,1762.62200110398,1660.28955298258
"ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2908.77474528011,0.164570447359044,0.426726365457435,0.385658025096786,0.699749953461836,0.902877509117088,2702.4536461481,2989.28548612379,3345.9121990484,2631.61601077342,3342.33527125891,2738.88906905551,2610.93153455264
"ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3611.19043181144,-0.27752144023903,0.59417194215043,-0.467072610723796,0.640447929209518,0.879698273677345,3694.32268230161,3439.19485748515,5823.2205670415,4642.9030138152,2621.19351479592,2741.85644616175,2315.64194107898
"ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,885.115473176213,0.704421982112751,0.693037782135027,1.01642652142666,0.309426321461783,0.69780793191801,961.749452856703,1318.55461831559,843.482919367385,656.765366482394,1165.32327312498,494.562851039276,755.369831047153
"ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,753.384510008862,1.07545990542557,0.832431558845817,1.29194994350853,0.196374480173685,0.582961335850788,728.063030726295,1425.55553622363,1221.26278359722,624.883552575482,398.195665525218,447.084817339506,428.646184074677
"ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,222.643725890697,1.13443889384426,1.16989996166269,0.969688803333205,0.332201633168326,0.716197980593392,193.180775627804,347.963614929291,219.324882813742,123.883619752574,88.8363033323976,398.617657937657,186.699226841415
"ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,218.541908162744,0.105446880733153,1.56547412124541,0.0673577923148702,0.946296869692461,0.986152495193419,16.6177011292735,181.985813134932,360.388463830509,321.55086597543,53.3017819994386,273.987819475759,321.960911593868
"ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,1465.30189356936,0.359287002060697,0.49547233241383,0.725140393430913,0.468365905922788,0.800936880307965,1143.50555895813,1563.72994990016,1621.26499278175,1294.40164462064,1798.67385923596,1462.91691337418,1372.62033611469
"ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,1262.34136577986,0.641659570151924,0.866035301914701,0.740916182900733,0.458744262666724,0.796298104680163,735.333274970352,1267.16047664323,611.597580709685,889.04715351847,761.901942697857,3092.99607039963,1478.35306151977
"ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,240.036893182718,1.72046404911227,1.61706075514146,1.06394521272131,0.287353519495053,0.680235924455369,254.458548542,539.217224103502,83.0922463523426,72.8727175015139,361.616011211877,9.89125702078553,359.110247547007
"ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,76.1974754008458,0.869088204588385,2.37244802722791,0.366325497804001,0.714122205460318,0.908662523161173,104.899238378539,140.701994414508,138.165014283546,49.1890843135219,26.1283245095287,0,74.2986719062773
"ENSMUSG00000000276","Dgke",56077,"protein_coding","11",88926005,88957676,43.85,588.482594026682,0.965703059046249,1.12696126414251,0.856908830651812,0.391495272063261,0.756279457345861,739.48770025267,1358.99591012336,673.433671018405,652.210821638549,485.986835877234,69.2387991454987,140.024420131061
