image_id,bin,specific_pair_count,specific_puncta_count,pair_count,specific_freq,pair_midpoint_x_mean,bauer_specific_freq_bin
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,whole_image,0,0,3,0.0,,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,0_30,0,0,3,0.0,,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,30_60,0,0,0,0.0,,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,60_90,0,0,0,0.0,,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,whole_image,0,0,9,0.0,,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,0_30,0,0,5,0.0,,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,30_60,0,0,4,0.0,,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,60_90,0,0,0,0.0,,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,whole_image,0,0,5,0.0,,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,0_30,0,0,4,0.0,,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,30_60,0,0,1,0.0,,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,60_90,0,0,0,0.0,,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,whole_image,1,2,7,0.044444444444444446,19.7359175,0.044444444444444446
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0_30,1,2,3,0.044444444444444446,19.7359175,0.08
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,30_60,0,0,2,0.0,,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,60_90,0,0,2,0.0,,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,whole_image,1,2,12,0.06060606060606061,0.24300575,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0_30,1,2,12,0.06060606060606061,0.24300575,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,30_60,0,0,0,0.0,,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,60_90,0,0,0,0.0,,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,whole_image,4,8,35,0.0898876404494382,37.73610587500001,0.0898876404494382
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0_30,3,6,21,0.06741573033707865,13.339548083333332,0.1276595744680851
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,30_60,0,0,8,0.0,,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,60_90,0,0,2,0.0,,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,90_120,1,2,2,0.02247191011235955,110.92577925,0.4
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,whole_image,0,0,2,0.0,,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,0_30,0,0,2,0.0,,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,30_60,0,0,0,0.0,,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,60_90,0,0,0,0.0,,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,90_120,0,0,0,0.0,,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,whole_image,1,2,5,0.07692307692307693,0.46852649999999996,0.07692307692307693
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,0_30,1,2,5,0.07692307692307693,0.46852649999999996,0.09523809523809523
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,30_60,0,0,0,0.0,,0.0
