motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000031133	13.29	tp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000049791	13.29	tp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000030725	13.29	tp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000032567	13.29	tp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000049091	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000059146	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000039191	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000011306	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000021482	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000013275	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000034912	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000046722	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000044912	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000019804	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000031154	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000032350	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000054717	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000021365	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000000223	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000024949	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000026047	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000037703	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000015568	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000035623	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000038122	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000029245	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000018501	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000037012	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000070348	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000033060	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000021666	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000056851	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000020818	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000022973	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000030621	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000027993	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000027983	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000000711	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000023025	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000024516	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000062373	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000039753	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000062014	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000036615	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000023072	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000008393	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000021830	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000019775	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000022664	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000038615	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000078515	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000078919	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000026739	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000026600	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000047866	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000054863	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000032244	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000039542	13.29	fp	0
1-UGAUUCA	STREME-1	4.9e-005	ENSMUSG00000052926	13.29	fp	0
